Isolate,Amikacin,Ampicillin,Amp/Sul,Cefepime,Cefoxitin,Ceftazidime,Ceftriaxone,Ciprofloxacin,Gentamicin,Levofloxacin,Meropenem,Nitrofurantoin,Pip/Taz,Trim/Sul,Tobramycin,ESBL,Cefazolin,KB Cefepime,KBPipTaz
14SP1-1,<=2,>=32,>=32,2,>=64,4,nan,<=0.25,<=1,<=0.125,0.5,>=512,nan,>=320,<=1,nan,>=64,28,25
14SP1-2,<=2,>=32,>=32,2,>=64,4,nan,<=0.25,<=1,<=0.125,1,>=512,nan,>=320,<=1,nan,>=64,29,24
14SP1-3,<=2,>=32,>=32,2,>=64,4,nan,<=0.25,<=1,<=0.125,<=0.25,>=512,nan,>=320,<=1,nan,>=64,28,27
14SP1-4,4,>=32,>=32,2,>=64,4,nan,<=0.25,<=1,<=0.125,0.5,>=512,nan,>=320,<=1,nan,>=64,29,25
14SP1-5,<=2,>=32,>=32,2,>=64,4,nan,<=0.25,<=1,<=0.125,0.5,>=512,nan,>=320,<=1,nan,>=64,26,25
14SP1-6,4,>=32,>=32,2,>=64,4,nan,<=0.25,<=1,<=0.125,0.5,>=512,nan,>=320,<=1,nan,>=64,28,24
14SP1-7,4,>=32,>=32,2,>=64,4,nan,<=0.25,<=1,<=0.125,0.5,>=512,nan,>=320,<=1,nan,>=64,26,25
14SP1-8,<=2,>=32,>=32,2,>=64,4,nan,<=0.25,<=1,<=0.125,0.5,>=512,nan,>=320,<=1,nan,>=64,28,26
14SP1-9,<=2,>=32,>=32,2,>=64,4,nan,<=0.25,<=1,<=0.125,0.5,>=512,nan,>=320,<=1,nan,>=64,28,25
14SP1-10,4,>=32,>=32,2,>=64,4,nan,<=0.25,<=1,<=0.125,0.5,>=512,nan,>=320,<=1,nan,>=64,28,25
14SP1-11,4,>=32,>=32,2,>=64,4,nan,<=0.25,<=1,<=0.125,1,>=512,nan,>=320,<=1,nan,>=64,28,23
14SP1-12,<=2,>=32,>=32,2,>=64,4,nan,<=0.25,<=1,<=0.125,0.5,>=512,nan,>=320,<=1,nan,>=64,28,25
14SP1-13,4,>=32,>=32,2,>=64,4,nan,<=0.25,<=1,<=0.125,1,>=512,nan,>=320,<=1,nan,>=64,28,26
14SP1-14,<=2,>=32,>=32,2,>=64,4,nan,<=0.25,<=1,<=0.125,0.5,>=512,nan,>=320,<=1,nan,>=64,28,25
14SP1-15,<=2,>=32,>=32,2,>=64,4,nan,<=0.25,<=1,<=0.125,1,256,nan,>=320,<=1,nan,>=64,28,26
14SP1-16,<=2,>=32,>=32,2,>=64,4,nan,<=0.25,<=1,<=0.125,0.5,>=512,nan,>=320,<=1,nan,>=64,27,26
14SP1-17,<=2,>=32,>=32,2,>=64,4,nan,<=0.25,<=1,<=0.125,1,>=512,nan,>=320,<=1,nan,>=64,28,26
14SP1-18,<=2,>=32,>=32,2,>=64,4,nan,<=0.25,<=1,<=0.125,1,>=512,nan,>=320,<=1,nan,>=64,28,25
14SP1-19,4,>=32,>=32,2,>=64,4,nan,<=0.25,<=1,<=0.125,1,>=512,nan,>=320,<=1,nan,>=64,28,25
14SP1-20,<=2,>=32,>=32,2,>=64,4,nan,<=0.25,<=1,<=0.125,1,>=512,nan,>=320,<=1,nan,>=64,27,26
14SP1-21,4,>=32,>=32,2,>=64,4,nan,<=0.25,<=1,<=0.125,1,256,nan,>=320,<=1,nan,>=64,28,25
14SP1-22,4,>=32,>=32,2,>=64,4,nan,<=0.25,<=1,<=0.125,0.5,>=512,nan,>=320,<=1,nan,>=64,28,25
14SP1-23,<=2,>=32,>=32,2,>=64,4,nan,<=0.25,<=1,<=0.125,1,>=512,nan,>=320,<=1,nan,>=64,29,26
14SP1-24,4,>=32,>=32,2,>=64,4,nan,<=0.25,<=1,<=0.125,0.5,>=512,nan,>=320,<=1,nan,>=64,28,25
