locus,literal_gene,gene,gene_grep,patient,sample,sample_type
nalD_01SP9,nalD,nalD,nalD,P01,01SP9,t1
nalD_01SP10,nalD,nalD,nalD,P01,01SP10,t2
nalD_01SP10-20,nalD,nalD,nalD,P01,01SP10-20,MUT
nalD_01SP10-18,nalD,nalD,nalD,P01,01SP10-18,WT
anmK_01SP9,anmK,anmK,anmK,P01,01SP9,t1
anmK_01SP10,anmK,anmK,anmK,P01,01SP10,t2
anmK_01SP10-20,anmK,anmK,anmK,P01,01SP10-20,MUT
anmK_01SP10-18,anmK,anmK,anmK,P01,01SP10-18,WT
sltB1_01SP9,sltB1,sltB1_P01,sltB1_1065308,P01,01SP9,t1
sltB2_01SP10,sltB2,sltB1_P01,sltB1_1065308,P01,01SP10,t2
sltB3_01SP10-20,sltB3,sltB1_P01,sltB1_1065308,P01,01SP10-20,MUT
sltB4_01SP10-18,sltB4,sltB1_P01,sltB1_1065308,P01,01SP10-18,WT
sulP_13SP1,sulP,sulP,sulP,P13,13SP1,t1
sulP_13SP3,sulP,sulP,sulP,P13,13SP3,t2
sulP_13SP3-13 ,sulP,sulP,sulP,P13,13SP3-13,MUT
sulP_13SP1-2,sulP,sulP,sulP,P13,13SP1-2,WT
oprD_09SP1,oprD,oprD,oprD,P09,09SP1,t1
oprD_09SP4,oprD,oprD,oprD,P09,09SP4,t2
oprD_09SP4-24,oprD,oprD,oprD,P09,09SP4-24,MUT
oprD_09SP4-20,oprD,oprD,oprD,P09,09SP4-20,WT
ampD_09SP1,ampD,ampD_P09,ampD_5171851,P09,09SP1,t1
ampD_09SP4,ampD,ampD_P09,ampD_5171851,P09,09SP4,t2
ampD_09SP4-24,ampD,ampD_P09,ampD_5171851,P09,09SP4-24,MUT
ampD_09SP4-20,ampD,ampD_P09,ampD_5171851,P09,09SP4-20,WT
sltB1_09SP1,sltB1,sltB1_P09,sltB1_1071470,P09,09SP1,t1
sltB2_09SP4,sltB2,sltB1_P09,sltB1_1071470,P09,09SP4,t2
sltB3_09SP4-24,sltB3,sltB1_P09,sltB1_1071470,P09,09SP4-24,MUT
sltB4_09SP4-20,sltB4,sltB1_P09,sltB1_1071470,P09,09SP4-20,WT
wbpL_14SP1,wbpL,wbpL,wbpL,P14,14SP1,t1
wbpL_14SP3,wbpL,wbpL,wbpL,P14,14SP3,t2
wbpL_14SP3-13,wbpL,wbpL,wbpL,P14,14SP3-13,MUT
wbpL_14SP3-24,wbpL,wbpL,wbpL,P14,14SP3-24,WT
ampR_42SP1,ampR,ampR,ampR,P42,42SP1,t1
ampR_42SP2,ampR,ampR,ampR,P42,42SP2,t2
ampR_42SP1-1,ampR,ampR,ampR,P42,42SP1-1,MUT
ampR_42SP1-12,ampR,ampR,ampR,P42,42SP1-12,WT
mexR_42SP1,mexR,mexR,mexR_736534,P42,42SP1,t1
mexR_42SP2,mexR,mexR,mexR_736534,P42,42SP2,t2
mexR_42SP1-1,mexR,mexR,mexR_736534,P42,42SP1-1,WT
mexR_42SP1-12,mexR,mexR,mexR_736534,P42,42SP1-12,MUT1
mexR_42SP1-16 ,mexR,mexR,mexR_736534,P42,42SP1-16,MUT2
ampD_42SP1,ampD,ampD_P42,ampD_2695477,P42,42SP1,t1
ampD_42SP2,ampD,ampD_P42,ampD_2695477,P42,42SP2,t2
PA0810_42SP1,PA0810,PA0810,PA0810,P42,42SP1,t1
PA0811_42SP2,PA0811,PA0810,PA0810,P42,42SP2,t2
PA0812_42SP2-2,PA0812,PA0810,PA0810,P42,42SP2-2,MUT
PA0813_42SP1-1,PA0813,PA0810,PA0810,P42,42SP1-1,WT
